Front End,41,142.3
QA,80,133.6
Java,13,79.6
Android,9,70
Project Manager,63,69.6
.NET,20,61
HR,73,54
Design,86,50.9
Python,31,47.7
Node.js,22,41.5
Blockchain,3,39.7
Flutter,7,38.5
Scrum Master,3,35
React Native,4,33.8
Ruby,2,31
Unity,7,29.7
iOS/macOS,9,27.4
Data Engineer,10,26
Product Manager,46,24.9
PHP,46,24.3
Data Science,17,23.4
Animator,3,23.3
DevOps,29,23
C++,9,21.2
Account Manager,5,21
Golang,10,18.3
Support,68,17.7
Big Data,9,17.5
Office Manager,8,17.2
Copywriter,22,14.8
AI/ML,8,14.5
Salesforce,5,14.2
Analyst,118,13.8
Sales,157,13.8
Legal,16,13.6
Hardware,8,12
Artist,22,10.9
Assistant,8,10.8
Marketing,248,10.7
Finance,48,10.6
C-level,4,8.8
ERP/CRM,8,8.3
Technical Writer,11,7.3
Other,43,6.8
SysAdmin,26,6.7
Embedded,8,5.1
Security,24,5.1
Engineering Manager,2,4
SEO,22,4
DBA,5,3.8
Rust,1,2
Architect,2,2
Unreal Engine,1,1
