Front End,57,69.5
QA,44,64.9
Project Manager,19,50.4
Blockchain,4,49.3
iOS/macOS,14,41.9
HR,22,40.7
.NET,59,34.2
React Native,14,32.1
Product Manager,30,31.3
Design,30,30.7
Android,11,29.7
Java,62,28.3
Flutter,6,21
Golang,15,20.5
AI/ML,4,20
Node.js,53,19.4
Account Manager,1,19
Ruby,11,18.6
PHP,44,18.5
Marketing,46,17.4
Office Manager,2,17
Copywriter,2,17
C++,13,15
Analyst,27,13.1
Unity,1,13
Legal,7,12.5
Python,56,11.9
DBA,3,11
Sales,24,11
C-level,17,10.6
Engineering Manager,16,10.4
Salesforce,4,9
Finance,16,8.8
DevOps,45,8.8
Artist,5,8
Data Science,17,7.7
Other,17,7.3
Technical Writer,1,7
Hardware,4,6.3
Data Engineer,17,5.6
Support,4,5.5
Architect,28,4.1
Security,8,4
SEO,3,3.3
SysAdmin,7,2.4
Rust,4,2.3
Embedded,13,1.4
Unreal Engine,3,0.7
SAP,8,0.2
Other,24,3.5
Erlang,4,2
Security,22,1.9
Architect,8,1.4
ERP/CRM,9,1.1
