Front End,324,94.6
QA,381,70.7
Design,278,48.6
Java,149,47.1
Project Manager,267,43.7
React Native,44,40
Android,37,39.1
iOS/macOS,50,38.3
HR,275,35.3
Unity,25,31.9
.NET,177,28.6
Ruby,33,26.1
Flutter,32,25.9
Node.js,216,24.8
PHP,201,23.4
Product Manager,204,22.6
Copywriter,53,22
Python,201,21.4
Artist,45,21.3
Scrum Master,9,19.9
Assistant,35,19.3
Office Manager,42,18.6
Blockchain,16,18.1
Data Science,56,17.9
Support,209,17.8
Account Manager,68,17.5
DevOps,188,15.4
Legal,75,15.2
C-level,60,14.6
Technical Writer,25,14.4
Sales,382,14.2
Unreal Engine,6,14
C++,53,13.9
Analyst,359,13.7
Finance,165,12.3
Marketing,722,10.9
SEO,72,10.8
Rust,5,9.8
Salesforce,15,9.8
AI/ML,81,9.8
Animator,17,9.5
Golang,52,9.4
Other,63,8.3
Security,71,8.3
ERP/CRM,46,7.7
Engineering Manager,35,7.4
Big Data,29,7.1
Data Engineer,89,6.8
SysAdmin,97,5.6
Architect,48,4.5
Embedded,61,4.1
DBA,29,3.1
Scala,8,3
Військова справа,56,2.5
Hardware,74,2.2
SAP,26,1.8
