Front End,58,171.6
QA,111,78.1
Design,103,57.7
Java,19,55.5
Project Manager,92,47.4
Android,6,45.2
Python,32,44.2
iOS/macOS,8,42.7
Node.js,37,40.1
.NET,21,39.3
HR,104,34.6
Unity,4,32.8
React Native,7,32.8
Artist,6,29.7
Flutter,11,28.3
Golang,5,27
C++,5,25.6
PHP,35,24
DevOps,26,20.9
Account Manager,26,20.6
Big Data,4,19.8
Product Manager,66,19.4
Ruby,3,19
Office Manager,25,17.9
Copywriter,24,17.9
ERP/CRM,12,17.8
Legal,25,16.4
Animator,5,16.2
Data Science,11,15.9
Assistant,11,15.7
Support,78,15.3
Unreal Engine,1,15
Analyst,144,14.9
AI/ML,16,14.6
Blockchain,1,14
Sales,152,13.1
Finance,49,11.4
Data Engineer,20,10.8
SEO,34,10.3
C-level,9,10.1
Scrum Master,1,9
Technical Writer,13,8.8
Marketing,316,8.7
Security,27,8.4
SAP,4,8.3
DBA,4,7.5
Salesforce,5,6.2
Other,24,6.1
SysAdmin,39,6
Hardware,22,2.7
Військова справа,11,2.6
Engineering Manager,2,2.5
Embedded,12,2.3
