Python,3,147
Java,4,138
Data Science,4,124.5
Technical Writer,1,113
Ruby,2,106.5
QA,46,101.1
Front End,15,98.6
React Native,1,98
Project Manager,12,91
Design,27,87
Node.js,5,80.7
Product Manager,5,76.5
iOS/macOS,2,67
.NET,5,59.6
Flutter,1,50
Analyst,22,48.6
Golang,1,48
Unity,2,40
AI/ML,3,35.5
C++,2,35
HR,53,33.8
Office Manager,8,31.6
Copywriter,8,30.8
Support,60,27.1
Artist,2,27
Security,8,26.7
Assistant,13,24.6
Marketing,83,24.3
PHP,11,21.3
Account Manager,12,20.8
Sales,73,19.8
Data Engineer,2,19.5
Other,9,19.1
Finance,16,18
SEO,13,17.6
Rust,1,14
Legal,5,12.8
Salesforce,1,12
ERP/CRM,4,10.5
SysAdmin,13,10
DBA,1,6
Військова справа,14,4.6
Embedded,3,4.5
Hardware,11,3.7
SAP,1,1
