Front End,111,53.6
QA,55,53.2
Project Manager,28,45.3
HR,22,41.8
Scrum Master,2,39
iOS/macOS,16,36.4
Android,10,35.3
Java,61,31.4
Design,35,27.2
Copywriter,1,22
Product Manager,38,21.8
.NET,86,21.5
Blockchain,6,20.8
PHP,53,20.8
React Native,17,19.6
Node.js,87,19.4
Unity,6,19
Office Manager,1,17
Sales,20,16.3
Ruby,17,16.2
Assistant,1,14
Finance,24,13.2
Legal,12,12.8
Analyst,38,12.8
DevOps,64,12.2
Marketing,47,12.2
Account Manager,4,12
Artist,7,11.7
C-level,27,11.7
SEO,1,11
Python,74,10.7
Rust,2,10
Support,4,8.3
Engineering Manager,18,8
Flutter,7,7
C++,16,7
Embedded,17,6.5
AI/ML,19,5.7
Architect,30,5.4
Golang,23,5.3
Data Engineer,25,5.3
Technical Writer,1,5
Scala,5,4.5
Data Science,13,4.5
Security,10,4.5
SysAdmin,7,4.5
Animator,4,4
Other,8,4
Big Data,6,2.8
Salesforce,3,2.5
DBA,9,2.2
SAP,6,0.8
ERP/CRM,8,0.8
Hardware,7,0.5
Scala,3,1
SAP,12,0.8
